black: upper_face, one_handed
summer: upper_face, one_handed
dry: upper_face, one_handed
ugly: upper_face, one_handed
sell: upper_face, two_handed_symmetric
store: upper_face, two_handed_symmetric
worried: upper_face, two_handed_symmetric
frustrated: lower_face, two_handed_symmetric
gym: upper_face, two_handed_symmetric
celebrate: upper_face, two_handed_symmetric
sick: upper_face, two_handed_asymmetric
scared: upper_face, two_handed_asymmetric
tomorrow: lower_face, one_handed
not: lower_face, one_handed
lucky: lower_face, one_handed
favorite: lower_face, one_handed
birthday: lower_face, one_handed
lonely: lower_face, one_handed
single: lower_face, one_handed
red: lower_face, one_handed
sweet: lower_face, one_handed
cereal: lower_face, one_handed
metal: lower_face, one_handed
frog: lower_face, one_handed
pig: lower_face, one_handed
dirty: lower_face, one_handed
sunday: lower_face, two_handed_symmetric
wonderful: lower_face, two_handed_symmetric
sorrowful: lower_face, one_handed
cry: lower_face, two_handed_symmetric
good: lower_face, two_handed_asymmetric
bad: lower_face, two_handed_asymmetric
mean(cruel): lower_face, two_handed_asymmetric
punish: lower_face, two_handed_asymmetric
star: lower_face, two_handed_asymmetric
socks: lower_face, two_handed_asymmetric
shave: lower_face, one_handed
sneakers_rubber: lower_face, one_handed
sex: lower_face, one_handed
alone: body, one_handed
always: body, one_handed
only_just: body, one_handed
first: body, one_handed
no: body, one_handed
30: body, one_handed
tuesday: body, one_handed
bathroom: body, one_handed
where: body, one_handed
onion: upper_face, one_handed
apple: upper_face, one_handed
late: body, one_handed
not_yet: body, one_handed
please: body, one_handed
sorry: body, one_handed
your: body, one_handed
mine: body, one_handed
dessert: body, two_handed_symmetric
date(romantic_outing): body, two_handed_symmetric
live: body, two_handed_symmetric
address: body, two_handed_symmetric
bath: body, two_handed_symmetric
science: body, two_handed_symmetric
show: body, two_handed_symmetric
bicycle: body, two_handed_symmetric
each_other: body, two_handed_symmetric
stay: body, two_handed_symmetric
today: body, two_handed_symmetric
class: body, two_handed_symmetric
family: body, two_handed_symmetric
important: body, two_handed_symmetric
gray: body, two_handed_symmetric
doesn't_matter: body, two_handed_symmetric
football: body, two_handed_symmetric
wrestling: body, two_handed_symmetric
roomate: body, two_handed_symmetric
machine_factory: body, two_handed_symmetric
read: body, two_handed_asymmetric
dance: body, two_handed_asymmetric
business: body, two_handed_asymmetric
busy: body, two_handed_asymmetric
movie: body, two_handed_asymmetric
pet: body, two_handed_asymmetric
warning: body, two_handed_asymmetric
summon: body, two_handed_asymmetric
weekend: body, two_handed_asymmetric
share: body, two_handed_asymmetric
music: body, two_handed_asymmetric
medium_average: body, two_handed_asymmetric
bread: body, two_handed_asymmetric
wood: body, two_handed_asymmetric
money: body, two_handed_asymmetric
buy: body, two_handed_asymmetric
shopping: body, two_handed_asymmetric
chocolate: body, two_handed_asymmetric
church: body, two_handed_asymmetric
computer: body, two_handed_asymmetric
cleaning: body, two_handed_asymmetric
nice: body, two_handed_asymmetric
shool: body, two_handed_asymmetric
paper: body, two_handed_asymmetric
of_course: body, two_handed_asymmetric
gain: body, two_handed_asymmetric
normal: body, two_handed_asymmetric
doctor: body, two_handed_asymmetric
again: body, two_handed_asymmetric
discuss: body, two_handed_asymmetric
sometime: body, two_handed_asymmetric
breath: body, two_handed_asymmetric
